Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,8194052.0,0.701,0.562,0.425
Ikuinen vappu,3Pakcg38hbn3d3YZYRQ7LE,JVG,7839552.0,0.67,0.699,0.764
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,6929383.0,0.825,0.54,0.593
Harmaa Rinne,4RYtaqxjDJUOY2GrtkLTFf,Teflon Brothers,5763516.0,0.861,0.962,0.71
Surullinen Klovni,5kqPqNBnMgRONrnlBA8qMl,MKDMSK,5575358.0,0.768,0.834,0.6
Suomen muotoisen pilven alla,2lvZlCIDkDHWc2Q9Y51GUJ,Arttu Wiskari,5416616.0,0.602,0.543,0.832
Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU,JVG,5330323.0,0.668,0.705,0.767
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,5320202.0,0.572,0.323,0.385
Muistuta mua,5XPxQRtCa8FHfrO8mzutAq,Pyhimys,4837912.0,0.564,0.634,0.713
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,4748281.0,0.652,0.483,0.557
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,4731235.0,0.778,0.327,0.317
Silmät,1rYP6R16sM0uSlxrqzR5pM,Gettomasa,4658923.0,0.788,0.784,0.726
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,4585895.0,0.674,0.234,0.881
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,4537010.0,0.759,0.749,0.548
Frisbee,7otEY2LI040OFwOfiFX3LL,JVG,4386090.0,0.585,0.507,0.74
Lokin päällä lokki,4Sk3IcLo2nDenuBs8JBWBg,Apulanta,4380447.0,0.698,0.35,0.826
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4354918.0,0.719,0.628,0.704
Jättiläinen,3bEc0e8OHd73jfhSjXMoKb,Pyhimys,4225917.0,0.612,0.283,0.66
Lennokki,4QA34AuEjmEhTIxkXN7yYu,Mikael Gabriel,4112115.0,0.498,0.148,0.72
7300 päivää (feat. Erika Vikman & Danny),2uDj5Xr9DEsXq7NR3Wtfmw,DJ Oku Luukkainen,4084826.0,0.631,0.703,0.943
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,4020382.0,0.833,0.385,0.539
Äänii,7qCT0FQxJYTzpUyoC10GEQ,Mouhous,3927707.0,0.795,0.839,0.746
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,3888137.0,0.501,0.446,0.405
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,3849097.0,0.878,0.639,0.619
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,3766058.0,0.579,0.681,0.904
Kalenterist tilaa (feat. Evelina),5KDPlTtsvctLnM8oPMDGV2,JVG,3711749.0,0.78,0.814,0.674
Hei rakas,0tc8HGXosQDC8TTAaON1TP,BEHM,3682777.0,0.68,0.251,0.411
Esson baariin,2SNZVqgDiiuOUe2qPOW1m1,Poju,3677606.0,0.816,0.972,0.978
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,3658236.0,0.682,0.607,0.656
Palavaa vettä,2UahjeHfrDFq39DWPHvvyN,Lauri Tähkä,3609495.0,0.563,0.468,0.769
Muijii stadis,73k0C3PXEpwbFbgIrXL55i,Gettomasa,3527020.0,0.857,0.191,0.63
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,3393574.0,0.64,0.546,0.647
Edelleen Edellä,72nkkzVRNM4QFqtndfdPtn,MKDMSK,3386905.0,0.768,0.346,0.837
XTC,17OUBczN4xbjuCDcx0xmXL,Lukas Leon,3314358.0,0.727,0.743,0.822
Don Juan (feat. Danny),0fljXRHHke69eOwJdzX0bQ,Yksi Totuus,3286143.0,0.61,0.814,0.921
Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,3213185.0,0.759,0.75,0.54
Mitä sulle jää (feat. Ilta),2K7kTu0pI07RoWgwofGzSD,Pikku G,3211281.0,0.609,0.279,0.691
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,3174262.0,0.737,0.656,0.86
All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,3144035.0,0.733,0.52,0.859
Sinä 4ever,2hnE2vPfcP5iJeyJUbb45n,Ellinoora,3085465.0,0.586,0.152,0.448
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,3026471.0,0.58,0.175,0.653
Pidä pää ylhääl (feat. Reeta),5MbDEe6OHY5vhdpOnLUF9P,Roope Salminen & Koirat,3002690.0,0.655,0.587,0.655
Pantomiimi (feat. Jenna Alexa),3QXGTfSo23CBfI0KShmIm3,Pikku G,2935173.0,0.716,0.569,0.707
Rooma (feat. Etta),7G5eTRWBH38iiRIEBRgW2d,Lukas Leon,2880333.0,0.3,0.188,0.735
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,2836126.0,0.726,0.335,0.554
Japanese Drip,1z4jCtA9thODROr8aMdcyP,Kube,2831721.0,0.972,0.152,0.448
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,2829029.0,0.752,0.533,0.488
Muijii stadis,2JjDXcC82gp21CV2WxP10k,Gettomasa,2821899.0,0.857,0.191,0.63
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,2818227.0,0.574,0.266,0.728
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,2803443.0,0.511,0.218,0.566
